date,open,high,low,close,dkx,madkx,ma_short,ma_long
2025-09-08,13.69,13.98,13.53,13.58,13.740833333333333,13.785553174603175,13.709999999999999,13.731
2025-09-09,13.69,14.02,13.62,14.02,13.753396825396827,13.781200793650793,13.768,13.73
2025-09-10,14.06,14.07,13.83,13.97,13.773769841269841,13.777305555555554,13.806000000000001,13.752
2025-09-11,13.93,14.17,13.88,14.12,13.801150793650793,13.775485714285713,13.876,13.778
2025-09-12,14.14,14.25,13.45,13.6,13.800650793650796,13.773865873015874,13.857999999999999,13.775
2025-09-15,13.51,13.69,13.37,13.43,13.771484126984127,13.771292063492064,13.828,13.769
2025-09-16,13.41,13.44,13.13,13.16,13.720714285714287,13.765418253968253,13.656,13.712
2025-09-17,13.15,13.25,12.95,12.96,13.652476190476193,13.753278571428572,13.453999999999999,13.629999999999999
2025-09-18,12.96,13.01,12.68,12.75,13.566373015873019,13.733384126984129,13.180000000000001,13.528
2025-09-19,12.69,12.9,12.56,12.81,13.479626984126988,13.70604761904762,13.022,13.440000000000001
2025-09-22,12.78,12.8,12.5,12.54,13.384285714285715,13.670392857142861,12.844,13.336000000000002
2025-09-23,12.51,12.65,12.36,12.45,13.282198412698413,13.623273015873016,12.702000000000002,13.178999999999998
2025-09-24,12.45,12.54,12.06,12.22,13.16899206349206,13.562795238095239,12.554,13.004
2025-09-25,12.23,12.55,12.13,12.43,13.070857142857143,13.489765873015875,12.49,12.834999999999999
2025-09-26,12.37,12.48,11.9,12.25,12.968285714285715,13.406529365079365,12.378,12.7
2025-09-29,12.25,12.26,11.95,12.06,12.859063492063491,13.3152873015873,12.282,12.562999999999999
2025-09-30,12.07,12.11,11.81,11.9,12.741793650793653,13.21739523809524,12.172,12.437000000000001
2025-10-09,11.75,11.87,11.63,11.8,12.616007936507936,13.113748412698413,12.088,12.321
2025-10-10,11.79,12.03,11.68,11.84,12.50553968253968,13.00766507936508,11.97,12.23
2025-10-13,11.97,12.6,11.78,12.51,12.449468253968254,12.904649206349205,12.022,12.2
2025-10-14,12.45,12.87,12.31,12.77,12.4325873015873,12.809479365079364,12.163999999999998,12.223
2025-10-15,12.75,13.24,12.63,13.17,12.455230158730158,12.726782539682539,12.418,12.295
2025-10-16,13.16,13.53,13.11,13.32,12.507920634920636,12.660675396825397,12.722,12.405
2025-10-17,13.29,13.44,13.11,13.32,12.564507936507937,12.610040476190477,13.018,12.494000000000002
2025-10-20,13.27,13.27,12.93,12.99,12.60311111111111,12.573523015873016,13.113999999999999,12.568000000000001
2025-10-21,12.99,13.3,12.92,12.99,12.640920634920635,12.55170873015873,13.158000000000001,12.661
2025-10-22,12.97,13.15,12.81,13.03,12.67831746031746,12.54536111111111,13.13,12.774
2025-10-23,13.03,13.1,12.84,12.97,12.714634920634923,12.55522380952381,13.059999999999999,12.891
2025-10-24,12.99,13.1,12.83,12.98,12.750912698412698,12.579761111111111,12.992,13.005
2025-10-27,12.92,13.06,12.83,12.97,12.78420634920635,12.61323492063492,12.988,13.051000000000002
2025-10-28,13.01,13.07,12.23,12.39,12.781039682539681,12.648080158730158,12.868,13.013
2025-10-29,12.31,12.36,11.75,11.81,12.720428571428572,12.6746,12.623999999999999,12.877
2025-10-30,11.79,11.83,11.62,11.64,12.63538888888889,12.687346825396826,12.358,12.709
2025-10-31,11.72,11.74,11.49,11.49,12.541420634920634,12.685038095238095,12.06,12.526
2025-11-03,11.49,11.64,11.37,11.41,12.440293650793649,12.66875634920635,11.748,12.368
2025-11-04,11.4,11.63,11.36,11.62,12.351206349206349,12.63978492063492,11.594,12.231
2025-11-05,11.64,11.96,11.58,11.86,12.288777777777778,12.600830952380953,11.604000000000001,12.114
2025-11-06,11.8,11.8,11.59,11.66,12.217722222222223,12.55113968253968,11.608,11.983
2025-11-07,11.64,11.75,11.59,11.7,12.145619047619046,12.490610317460318,11.65,11.855
2025-11-10,11.65,11.8,11.61,11.69,12.075055555555554,12.419695238095237,11.706,11.727
2025-11-11,11.67,11.73,11.6,11.67,12.005563492063493,12.34214761904762,11.716,11.655
2025-11-12,11.69,11.92,11.66,11.68,11.945539682539682,12.26465873015873,11.68,11.642
2025-11-13,11.66,11.72,11.51,11.66,11.884738095238095,12.18959365079365,11.68,11.644
2025-11-14,11.61,11.77,11.61,11.62,11.831468253968255,12.118598412698413,11.663999999999998,11.657
2025-11-17,11.6,11.65,11.35,11.37,11.767999999999999,12.051369047619048,11.6,11.652999999999999
2025-11-18,11.35,11.45,11.25,11.45,11.707333333333333,11.986981746031747,11.556,11.636
2025-11-19,11.43,11.62,11.4,11.56,11.666015873015873,11.924705555555555,11.532,11.606
2025-11-20,11.54,11.81,11.49,11.7,11.64461111111111,11.867394444444445,11.540000000000001,11.61
2025-11-21,11.7,11.74,11.5,11.52,11.622523809523807,11.81508492063492,11.52,11.592
2025-11-24,11.54,11.65,11.49,11.53,11.603420634920637,11.767921428571428,11.552,11.575999999999999
2025-11-25,11.53,11.64,11.45,11.61,11.593880952380953,11.726753174603173,11.584,11.57
2025-11-26,11.63,11.67,11.45,11.48,11.584999999999999,11.690699206349205,11.568,11.55
2025-11-27,11.42,11.78,11.31,11.62,11.5810873015873,11.660334126984127,11.552000000000001,11.546
2025-11-28,11.6,11.7,11.46,11.48,11.575103174603173,11.634697619047618,11.544,11.532
2025-12-01,11.41,11.55,11.37,11.54,11.565325396825399,11.614430158730158,11.546,11.549000000000001
2025-12-02,11.51,11.58,11.43,11.45,11.554103174603174,11.599107142857141,11.514,11.549
2025-12-03,11.42,11.5,11.3,11.3,11.531277777777778,11.585633333333334,11.478,11.523
2025-12-04,11.33,11.33,11.15,11.25,11.501658730158729,11.571338095238094,11.404,11.478
2025-12-05,11.23,11.32,11.14,11.26,11.47268253968254,11.556353968253969,11.36,11.452
2025-12-08,11.26,11.43,11.23,11.39,11.455619047619049,11.54157380952381,11.33,11.437999999999999
2025-12-09,11.41,11.43,11.31,11.32,11.440492063492064,11.52623492063492,11.304,11.409
2025-12-10,11.32,11.33,11.14,11.28,11.419253968253969,11.509660317460316,11.3,11.389
2025-12-11,11.3,11.45,11.22,11.44,11.410619047619047,11.492613492063493,11.338,11.371
2025-12-12,11.41,11.61,11.35,11.61,11.417682539682536,11.476871428571428,11.408,11.384
2025-12-15,11.59,11.75,11.5,11.66,11.435103174603176,11.463849206349206,11.462,11.396
2025-12-16,11.67,11.72,11.42,11.55,11.44592857142857,11.453031746031746,11.508,11.406
2025-12-17,11.54,11.67,11.45,11.54,11.453055555555554,11.445209523809522,11.559999999999999,11.43
2025-12-18,11.59,11.79,11.48,11.78,11.474666666666668,11.442510317460318,11.628,11.483
2025-12-19,11.72,11.8,11.65,11.69,11.496706349206347,11.444912698412699,11.644,11.526
2025-12-22,11.65,11.69,11.54,11.64,11.511174603174602,11.450468253968253,11.639999999999999,11.551
2025-12-23,11.67,11.88,11.62,11.83,11.538873015873014,11.460306349206348,11.696000000000002,11.602
2025-12-24,11.83,11.9,11.75,11.81,11.569579365079365,11.475338888888889,11.75,11.655000000000001
2025-12-25,11.8,11.86,11.74,11.77,11.595746031746032,11.493851587301586,11.748000000000001,11.687999999999999
2025-12-26,11.77,11.82,11.71,11.72,11.616880952380953,11.513771428571427,11.754000000000001,11.699
2025-12-29,11.74,12.22,11.68,12.17,11.66384126984127,11.536645238095238,11.860000000000001,11.75
2025-12-30,12.17,12.41,12.1,12.39,11.735246031746032,11.565576984126984,11.972,11.834
2025-12-31,12.35,12.45,12.14,12.44,11.809206349206349,11.601192063492064,12.098,11.924
2026-01-05,12.47,12.48,11.8,11.82,11.84575396825397,11.638300793650792,12.108,11.928
2026-01-06,11.78,12.03,11.71,12.0,11.86765873015873,11.67539603174603,12.164,11.959
2026-01-07,11.91,11.98,11.76,11.79,11.8784126984127,11.712119841269843,12.088,11.974
2026-01-08,11.78,11.78,11.48,11.54,11.865253968253967,11.744757936507938,11.918,11.944999999999999
2026-01-09,11.56,11.57,11.46,11.54,11.84372222222222,11.772172222222222,11.738,11.918
2026-01-12,11.55,11.68,11.51,11.66,11.829031746031747,11.795500793650794,11.706,11.907
2026-01-13,11.72,11.75,11.54,11.57,11.813206349206348,11.815133333333332,11.62,11.892
2026-01-14,11.61,11.64,11.22,11.24,11.77268253968254,11.826017460317459,11.51,11.799
2026-01-15,11.22,11.26,11.16,11.16,11.716468253968252,11.824139682539682,11.434000000000001,11.675999999999998
2026-01-16,11.19,11.27,10.88,11.04,11.65163492063492,11.808382539682539,11.334,11.536
2026-01-19,10.99,11.21,10.93,11.12,11.589515873015872,11.78275873015873,11.226,11.466
2026-01-20,11.1,11.11,10.94,11.03,11.526373015873016,11.748630158730158,11.118,11.368999999999998
2026-01-21,11.03,11.06,10.71,10.74,11.447039682539682,11.705492857142856,11.018,11.264
2026-01-22,10.74,10.9,10.6,10.63,11.357373015873018,11.654704761904762,10.911999999999999,11.172999999999998
2026-01-23,10.63,10.66,10.47,10.51,11.259555555555556,11.596288095238096,10.806000000000001,11.07
2026-01-26,10.49,10.53,10.34,10.35,11.15381746031746,11.528766666666666,10.652,10.939
2026-01-27,10.34,10.4,10.18,10.2,11.040539682539682,11.4515,10.486,10.802
2026-01-28,10.2,10.26,10.01,10.05,10.920071428571429,11.36623888888889,10.347999999999999,10.683
2026-01-29,10.03,9.95,10.1,10.15,10.807325396825394,11.275324603174603,10.252,10.582
2026-01-30,10.14,10.28,10.01,10.04,10.705468253968254,11.180707936507936,10.157999999999998,10.482
2026-02-02,10.07,10.25,10.03,10.06,10.614174603174602,11.08317380952381,10.1,10.376
2026-02-03,10.06,9.99,9.91,10.02,10.524055555555556,10.982942063492064,10.064,10.275
2026-02-04,10.0,10.15,10.07,10.13,10.452428571428573,10.883480952380953,10.080000000000002,10.214
